"GeneHu","Category"
"ATG16L1","PSVZbyQSVZ_Morizur_FC5_"
"ATG3","QSVZbyPSVZ_Morizur_FC5_"
"ATG4A","QSVZbyPSVZ_Morizur_FC5_"
"ATG5","PSVZbyQSVZ_Morizur_FC5_"
"ATG9A","QSVZbyPSVZ_Morizur_FC5_"
"ATIC","PSVZbyQSVZ_Morizur_FC5_"
"ATL2","QSVZbyPSVZ_Morizur_FC5_"
"ATL3","PSVZbyQSVZ_Morizur_FC5_"
"ATM","PSVZbyQSVZ_Morizur_FC5_"
"ATMIN","PSVZbyQSVZ_Morizur_FC5_"
"ATP10A","PSVZbyQSVZ_Morizur_FC5_"
"ATP11B","PSVZbyQSVZ_Morizur_FC5_"
"ATP11C","PSVZbyQSVZ_Morizur_FC5_"
"ATP13A1","QSVZbyPSVZ_Morizur_FC5_"
"ATP13A3","PSVZbyQSVZ_Morizur_FC5_"
"ATP13A4","QSVZbyPSVZ_Morizur_FC5_"
"ATP13A5","QSVZbyPSVZ_Morizur_FC5_"
"ATP1A1","QSVZbyPSVZ_Morizur_FC5_"
"ATP1B2","QSVZbyPSVZ_Morizur_FC5_"
"ATP1B3","PSVZbyQSVZ_Morizur_FC5_"
"ATP5F1B","PSVZbyQSVZ_Morizur_FC5_"
"ATP5F1E","PSVZbyQSVZ_Morizur_FC5_"
"ATP5PD","PSVZbyQSVZ_Morizur_FC5_"
"ATP5MF","PSVZbyQSVZ_Morizur_FC5_"
"ATP5ME","PSVZbyQSVZ_Morizur_FC5_"
"ATP5PO","PSVZbyQSVZ_Morizur_FC5_"
"DMAC2L","PSVZbyQSVZ_Morizur_FC5_"
"ATP6AP2","QSVZbyPSVZ_Morizur_FC5_"
"ATP6V0A1","QSVZbyPSVZ_Morizur_FC5_"
"ATP6V1G2","QSVZbyPSVZ_Morizur_FC5_"
"ATP6V1G2-DDX39B","QSVZbyPSVZ_Morizur_FC5_"
"ATP7A","PSVZbyQSVZ_Morizur_FC5_"
"ATP8A1","QSVZbyPSVZ_Morizur_FC5_"
"ATP8B2","PSVZbyQSVZ_Morizur_FC5_"
"ATPAF2","PSVZbyQSVZ_Morizur_FC5_"
