Gene,Category,sample_1,sample_2,value_1_npc,value_2_nsc,FC5
Hgf,nscBYnpc_FC5_,npc,nsc,0.00303522,0.110966,36.55945862
BC106175,nscBYnpc_FC5_,npc,nsc,0.00457345,0.16665,36.43857482
Adgre1,nscBYnpc_FC5_,npc,nsc,5.787,208.52,36.03248661
Cct8l1,nscBYnpc_FC5_,npc,nsc,0.01129,0.405863,35.94889283
Fpr2,nscBYnpc_FC5_,npc,nsc,0.126336,4.5251,35.81797746
Hist1h1t,nscBYnpc_FC5_,npc,nsc,0.011146,0.39638,35.56253364
Gm5431,nscBYnpc_FC5_,npc,nsc,0.270847,9.60715,35.47076394
Gm38050,nscBYnpc_FC5_,npc,nsc,0.168743,5.97595,35.41450608
Cd209d,nscBYnpc_FC5_,npc,nsc,0.87006,30.3322,34.86219341
BC049352,nscBYnpc_FC5_,npc,nsc,0.0607267,2.09774,34.54394854
Gm32591,nscBYnpc_FC5_,npc,nsc,0.0704444,2.42206,34.3825769
C5ar1,nscBYnpc_FC5_,npc,nsc,9.13918,313.29,34.27988069
Rnase12,nscBYnpc_FC5_,npc,nsc,0.0558917,1.91384,34.24193574
Olfr49,nscBYnpc_FC5_,npc,nsc,0.0032198,0.110071,34.18566371
Cbr2,nscBYnpc_FC5_,npc,nsc,18.8743,644.059,34.12359664
A930019D19Rik,nscBYnpc_FC5_,npc,nsc,0.0131977,0.449822,34.08336301
Cd200r1,nscBYnpc_FC5_,npc,nsc,1.05984,36.0562,34.02041818
Cxcr3,nscBYnpc_FC5_,npc,nsc,0.973686,32.9338,33.82384054
Tnfrsf17,nscBYnpc_FC5_,npc,nsc,0.566186,19.1357,33.79755063
Casp4,nscBYnpc_FC5_,npc,nsc,0.212523,7.18058,33.78730773
Gna15,nscBYnpc_FC5_,npc,nsc,0.449471,15.1564,33.72052924
4930552P12Rik,nscBYnpc_FC5_,npc,nsc,0.00599619,0.200862,33.4982714
Ms4a7,nscBYnpc_FC5_,npc,nsc,14.7363,492.031,33.3890461
Cd68,nscBYnpc_FC5_,npc,nsc,21.392,714.008,33.37733732
Kcnk6,nscBYnpc_FC5_,npc,nsc,0.105342,3.51205,33.33950371
Clec10a,nscBYnpc_FC5_,npc,nsc,11.9285,397.355,33.31139707
Asb10,nscBYnpc_FC5_,npc,nsc,0.114141,3.78074,33.12341753
F13a1,nscBYnpc_FC5_,npc,nsc,9.19049,303.199,32.9905152
Cfp,nscBYnpc_FC5_,npc,nsc,9.86223,324.391,32.89225662
A530040E14Rik,nscBYnpc_FC5_,npc,nsc,0.0308477,1.01149,32.78980281
Fcrls,nscBYnpc_FC5_,npc,nsc,18.6871,611.728,32.73530938
Gm16083,nscBYnpc_FC5_,npc,nsc,0.0067073,0.218337,32.55214468
Ripk3,nscBYnpc_FC5_,npc,nsc,0.194554,6.3217,32.49329235
Gm13710,nscBYnpc_FC5_,npc,nsc,0.784655,25.4478,32.4318331
AC101945.2,nscBYnpc_FC5_,npc,nsc,0.0169318,0.547445,32.33235687
Tnfsf13b,nscBYnpc_FC5_,npc,nsc,0.0105086,0.339498,32.30668215
Gm7856,nscBYnpc_FC5_,npc,nsc,0.0061051,0.19637,32.1649113
Ly9,nscBYnpc_FC5_,npc,nsc,0.0511762,1.64132,32.07193969
Cd48,nscBYnpc_FC5_,npc,nsc,2.48089,79.1464,31.90242211
Tnfrsf1b,nscBYnpc_FC5_,npc,nsc,0.378773,11.9725,31.60864159
Clec4n,nscBYnpc_FC5_,npc,nsc,3.37936,106.731,31.58319919
Gm13920,nscBYnpc_FC5_,npc,nsc,0.0555737,1.74969,31.48413728
Adam3,nscBYnpc_FC5_,npc,nsc,0.0129452,0.405666,31.33717517
