"","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"Itgb5",1.9584195679237,6.67309875416409,2.7114617836141,3.36217977317478,3.71882703040353,1.24264333406452,2.7114617836141,0.11122798449889,6.44816321092742,4.17733848183321
"Itpripl1",3.50573202939032,6.43733454194278,2.72333330267891,5.47290701450451,3.61374921674977,5.77383696263525,2.72333330267891,5.66396734865603,6.36653206772905,4.35000956029815
"Jun",9.18372486075458,11.547540779482,11.050355777021,8.58459227346469,10.9957281939182,6.26905462344101,11.050355777021,5.5454386987216,11.5368065103499,9.27936232627118
"Kcnd1",1.51201896935325,4.84415671171296,2.76932980153795,1.869682253474,2.84276772372282,0.768080419401673,2.76932980153795,0.0449699398771885,4.62027780522249,1.3087414780417
"Kcnk6",2.09306008364541,6.3897945236467,1.71665528380181,4.30223560100912,3.32273533097885,2.47109578847958,1.71665528380181,2.14548244392631,6.15228894459011,5.04028604592748
"Klhdc8b",2.08354147543195,5.31933204614927,4.03700439431012,1.78991979610238,3.5789401627924,0.80251183456838,4.03700439431012,0,4.88316812808228,0.844575219445349
"Klk8",2.36125531882606,6.08781779256121,2.33414814497304,4.01534517820658,2.5973611715837,4.9727063882608,2.33414814497304,4.30263968020317,6.34892754775562,1.33700940626164
"Lag3",1.73499599502541,7.08867561731913,3.9682181031463,2.12316148517312,3.39703552521422,1.84885695651317,3.9682181031463,0.132176402988283,5.97694513284654,0.65855993612152
"Lair1",2.12219217742262,6.01195386480852,1.52394252971634,4.34743135739695,3.0648449034158,2.93343865740403,1.52394252971634,2.20372042092232,6.59460189803928,4.67271394052416
"Lamb2",2.60043457939121,4.31915844548567,4.37942325208163,1.79576118220342,3.49290626382493,1.65002083003113,4.37942325208163,1.33386595944302,3.71716105752462,0.428635574194695
"Laptm5",6.39025285090655,10.1532009730576,4.10494187224449,10.0361897606769,6.22853087350944,10.1275678956308,4.10494187224449,10.4969205853819,9.97374749218265,9.54575503952535
"Lbx2",1.11358608879666,4.42663088206758,0.916737234732277,2.73528593315903,1.20866630577286,3.75102968622418,0.916737234732277,3.28162798455663,4.81496140464094,0
"Ldhb",4.40528725589842,7.90627144293692,5.42218101974518,5.04718579436186,5.58795238725636,4.2163193083228,5.42218101974518,3.25811218290226,8.03119304243296,4.21006688004228
