"","endoBYo","AveExpr","F","P.Value","adj.P.Val"
"Egfl8",5.03267381146117,1.62623955972375,100.258076025905,6.52079623998498e-11,1.00180260567491e-08
"Kank3",4.02901990108553,1.66082387477703,99.8893499988579,6.79881328591974e-11,1.0373113539614e-08
"Sigirr",5.37304082142514,1.49713262760188,99.274791064923,7.29074088767034e-11,1.10474699080775e-08
"Uaca",3.65833002835778,0.716604213953549,99.0140279833845,7.51084963161627e-11,1.13035732245066e-08
"Gm18303",3.35431389747931,0.977607223853469,98.8883959040192,7.61942159106698e-11,1.13894908012956e-08
"Srarp",4.9033872025961,0.70496213132047,97.329020651042,9.11605069465037e-11,1.35351939273658e-08
"Exoc3l",4.50446117228549,1.16564318436175,97.0255813975667,9.44224804578166e-11,1.39260569011219e-08
"Chp2",4.28430043713731,0.907149080265765,96.8689446294557,9.61549700487365e-11,1.40876582939616e-08
"Clip2",-3.01676512871068,2.94590538781539,95.9161032586304,1.07453733290961e-10,1.56394667210259e-08
"Gm5",4.13095187171602,0.952199193877373,95.3558075351537,1.14754027289272e-10,1.65928323249711e-08
"Platr5",1.49717930502286,0.122816616409998,94.9239402011247,1.20742484236458e-10,1.7345363498462e-08
"Rasl10b",-4.87615870005131,2.50187375530917,93.5159696648896,1.42702029193099e-10,2.03677225279931e-08
"Gm42544",2.26345587800505,0.267043757500752,92.6903191484854,1.57536081487523e-10,2.23408380176185e-08
"Adgra2",4.00059294590925,1.02691444033144,92.4929460059761,1.6132103502476e-10,2.2731880623266e-08
"Polm",-2.62669403621475,3.16766778376449,91.9088213533019,1.7310354145584e-10,2.42377825799212e-08
"Gm48783",2.51790112666755,0.317250162714101,91.4112887801215,1.83865768296568e-10,2.55827823397797e-08
"Myct1",5.77423676544997,0.982877395957049,91.3017660087059,1.86329640490019e-10,2.57635664785044e-08
"Unc45b",2.00987923211306,0.301909182178921,89.5104968188995,2.3205826236988e-10,3.18871114186885e-08
"Meox1",4.76828129198462,0.911684915879969,89.2999740842753,2.38174306470702e-10,3.25254949509342e-08
"Gm8814",1.76158424112504,0.155207939099726,89.1090397489881,2.43870457228793e-10,3.30990559832674e-08
"Aoc3",1.95814854444858,0.315311057767854,88.93516093805,2.49184626944904e-10,3.36140945237934e-08
"Clec14a",6.499708565564,1.36101501585959,88.1830508211925,2.73639304974778e-10,3.66892263270123e-08
"Arl8a",-3.27101478260806,6.45541203065195,87.7946615494622,2.87261587497487e-10,3.82836632542585e-08
"Gm36862",1.48568598075163,0.215251504042931,87.6531045906568,2.92405319923706e-10,3.87358257046236e-08
"Rhoj",3.84053351917143,0.784756834749348,87.5004385891227,2.98063297774326e-10,3.92503234325084e-08
"Vil1",1.67395819801733,0.382559978412949,87.0092001466977,3.17077691338803e-10,4.15071583756706e-08
"Gm18101",-3.74084674397934,3.18726904216876,86.6564984994602,3.31527802491698e-10,4.31434680854343e-08
