"","monocytesBYo","AveExpr","F","P.Value","adj.P.Val"
"Gm29260",0.275081413854077,0.239114960046755,0.700481127008061,0.409571735986795,0.646057434241416
"Gm5049",0.570940414971891,0.807173395433143,0.700229344445151,0.409654906375707,0.646142556234833
"Nacad",1.18220577977959,2.63233549998138,0.699992616469161,0.409733127129178,0.646219859661994
"Gm9443",0.275192767371734,0.124078541191495,0.699783956967448,0.409802092092662,0.646282555130166
"Gm32175",0.406586250284318,0.172703428309918,0.699493986877746,0.409897960521341,0.64638766701929
"Ttl",-0.507099971894669,2.32067418431711,0.699046016709539,0.410046132812729,0.646575238504348
"Spag5",0.741368983125959,1.45629297844123,0.698897488174404,0.410095278550525,0.646606645810938
"Zfp977",0.239350161783073,0.506287670722248,0.698777289911207,0.410135056773389,0.646623279717622
"Slco1a4",-0.97387857485053,0.940052814927608,0.698584977375901,0.410198712520031,0.646677554128173
"Epha7",0.367264563833363,0.345489880648117,0.697985525513707,0.410397227953233,0.646865458353103
"Ociad2",0.383055933436273,0.947626216505051,0.697818984565962,0.410452405722333,0.646865458353103
"Fmr1",-0.68754733882451,3.51135391256103,0.697763500396817,0.410470791037967,0.646865458353103
"Gm13223",0.256468473624026,0.261662520944444,0.697725455113106,0.410483398499251,0.646865458353103
"Utp3",-0.356137247662797,7.03152506005956,0.697709965406027,0.410488531652428,0.646865458353103
"Has3",0.431396649756251,0.561470390038932,0.697695454864715,0.410493340406781,0.646865458353103
"Pex5",-0.380352865931881,4.42920757036269,0.697425469726202,0.410582828308536,0.646960392497846
"Tcf3",-0.328209570423994,4.52864263834251,0.696665565533261,0.410834860876936,0.647202652517999
"Chid1",-0.307225787084367,2.83299956480515,0.69666476791911,0.410835125539562,0.647202652517999
"Ccdc43",-0.335365862804158,3.24544053422398,0.696644844874587,0.410841736445455,0.647202652517999
"A3galt2",-0.447748178314193,1.08456730037645,0.696609112516858,0.410853593633901,0.647202652517999
"Hs6st2",0.2215180048552,0.22685952792053,0.696505678249914,0.410887919495559,0.647210640299058
"Gm26707",0.260405703137457,0.635286972119637,0.696175592020983,0.41099749148804,0.647272157258616
"Cog4",0.237360206383849,1.94571464971026,0.696150538965551,0.411005809646452,0.647272157258616
"Plekhj1",0.381084872225546,6.61829488744115,0.696123619488736,0.411014747781451,0.647272157258616
"4930572O13Rik",0.425047043535026,0.255454848497245,0.695934675632802,0.411077491524143,0.647324887535669
"Reps2",0.305391675924936,0.525951494101114,0.695750940160399,0.411138519600774,0.647374908834727
"Gpr27",1.16827097477841,2.5675200397373,0.695636431668186,0.411176560749822,0.647388730586315
"Safb2",0.55000177699013,4.3628316852305,0.695415089885117,0.411250108366006,0.647458450567973
"Peli1",-0.475010190461727,3.82478654958866,0.694908597012645,0.411418481206315,0.647677439673187
"Epp13",0.240078545738238,0.172818050664154,0.694808725296935,0.411451693773536,0.647680207577301
