"","other","macrophages"
"Cyp26c1",0.0405197238800061,1.16764769451827
"Cyp2ab1",1.06496281476435,3.79090939644886
"Cyp2e1",0.294086328855883,5.13778581047775
"Cyp2j14-ps",0.0778326390515517,1.124283021428
"Cytip",1.72315053589837,3.44147539099565
"D130058E05Rik",0.344738520128198,2.46786145010549
"D930030I03Rik",1.84765643503763,0.651631561200082
"Dab2",1.57477799220076,2.62201089724427
"Dancr",2.32349311154682,2.12182487067872
"Dap",2.67102606783279,4.51037620781798
"Dapk1",1.73989445838945,2.56687142747369
"Dbi",6.45365717221293,8.91671241414084
"Ddias",0.926661105959747,1.33522945009377
"Ddx39",4.76359620709787,2.93286539844464
"Ddx41",5.75205411667017,5.84338464154464
"Defa-ps12",0.229070820122946,0.515578348355315
"Dennd2d",0.993444201182996,1.6701921962933
"Depdc1a",0.428994209617514,1.07014075599472
"Derl3",2.14755005352552,2.04293648479941
"Dhfr",1.30056838728664,1.85170077315551
"Dhrs3",3.4100287418538,6.60553385876899
"Diaph1",2.59015929209278,3.16039778111539
"Diras2",2.078750081865,1.16097485452817
"Dmpk",2.80939493603701,5.12732961491189
"Dmwd",4.42353697988757,4.82611801063223
"Dnah12",0.431116704069202,2.24274868831798
"Dnajb13",2.8731655997578,2.02075854037601
"Dnajc10",3.80267260653476,4.14277188905911
"Dnajc9",5.1922643089393,6.11302785029435
"Dnase1",2.39763461367539,0.68661580294744
"Dnase1l1",3.05700262276071,3.82994730754281
"Dnm1",2.42782655850237,0.663982843333195
"Dnmt1",2.93133272167592,2.89409324964036
"Dock5",1.08283935776891,0.911864445403758
"Dok2",1.76582629135445,4.29743195076043
"Dpysl3",2.05478401942342,1.05696701839248
"Dram1",1.18255014195124,1.31762317243005
"Dscc1",0.531375306952076,1.45250971373694
"Dtl",0.982881389323292,1.85353871395319
"Dubr",2.84910928982265,2.53994122772598
"Dusp23",3.3474888245469,4.57912789415526
"Dusp3",4.84808827155044,3.45252052552659
"Dut",2.96292154845476,3.76038573208041
"Dyrk3",2.15350567090538,1.51562952076287
"E2f1",2.81933659595214,4.06050471128223
"E2f8",1.50123170038063,2.66878797965459
"Ecm1",3.77302527470554,11.6448907350134
"Ect2",0.965727670866487,1.69269220325621
"Ednrb",3.27384899521549,8.35637495579952
"Efcab5",0.370490034057628,1.48254140745068
"Efnb2",1.94028906402921,3.54750446086391
"Egln3",1.71468368409642,3.30980900542981
"Ehbp1l1",4.25054283411005,4.73240004468248
"Ehd1",4.86431978809162,7.0089554330576
"Eif3j2",3.79074715818769,1.28706452104236
"Eif4ebp1",2.8954419812756,5.14292034947453
"Eif4ebp2",4.56636993064437,5.23269163848788
"Elovl5",4.29089565730004,4.71738823010294
