"","other","newoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"Tubb2a",8.1198922106199,8.23566836103684,8.66781049548488,7.65493573016515,8.39145233856816,7.40204589636642,8.66781049548488,7.82365162697261,7.74801605865433,7.35939632550704
"Tubb2b",5.40867707576543,10.2842227721074,8.72505652781939,3.11628826726096,6.79126704426864,2.82544108646708,8.72505652781939,2.02214310510064,4.69689291412821,2.84865781498609
"Tubb4b-ps2",1.87754246413755,4.4695829191605,4.14056056030806,0.221406686866215,2.79592521973511,0,4.14056056030806,0,0.163368569011223,0.545132828960667
"Tubb5",8.88892230011256,9.83609708272584,9.78125063766814,8.22653185257808,8.79598979933444,9.38128037290572,9.78125063766814,10.0115235143195,7.45244735404071,6.85862635702571
"Tubg2",1.51760259516254,3.63618349726052,2.96316636708424,0.517556907493304,2.2453540157298,0.0459314141270731,2.96316636708424,0,0.637320065664088,1.01886203831449
"Tuft1",0.88055781904613,0.117570161009602,0.934658816276327,0.737845989215142,0.997519700788825,0.368165729744587,0.934658816276327,0.37742447476706,1.04378182387939,0.864415971888592
"Tunar",0.298459913813229,2.53777954942057,0.908400994417932,0.044676422735032,0.602328010523954,0.0226525567605718,0.908400994417932,0.0302034090140957,0.0023688669224155,0.104351595012772
"Tusc3",1.67120155462443,2.00075393680218,2.07243657188768,1.36131496229131,1.86712308944804,1.21480542940395,2.07243657188768,1.2584010635565,1.50405128632119,1.3420753167432
"Twsg1",2.59747566399459,3.65637424872527,3.70152491541797,1.76379489209047,3.23421533539292,1.11116621383186,3.70152491541797,1.18344083030526,2.34003201121623,1.88398264710697
"Ubap1l",0.836099602043865,1.39222889191759,1.32867479347689,0.474612470774182,1.15586270865803,0.0957833813233387,1.32867479347689,0.107382779126414,0.345194869748625,1.04470570177706
"Ube2e2",0.703022726195525,1.92522522603917,1.26671589651791,0.362566514643896,1.00425920664775,0.180173029912819,1.26671589651791,0.217246790774438,0.258519161044043,0.640997536887099
"Ube2o",2.65203504397945,3.88326765194385,3.73037836190522,1.86238871678995,3.43859466220926,0.796804245838558,3.73037836190522,0.897280892201105,1.24497062438991,3.63793619869661
"Ube2ql1",1.26455068506654,2.67756171611705,2.4562186229251,0.39846761832161,1.60815351554041,0.672895659026025,2.4562186229251,0.8971942120347,0.107517770373181,0.0909455538143298
"Ubqln2",5.83549500177527,7.64931957436784,7.42594560241935,4.67057879778576,6.35574098210181,4.8582746990254,7.42594560241935,5.17125875373325,4.75071633864851,3.98962530978602
"Uchl1",2.66037967949876,5.27757962399747,5.59569042184786,0.419132773005634,3.77535228381012,0.2485050037672,5.59569042184786,0.079816446389119,0.796105975066475,0.449339162884611
"Ucn2",0.289789709746531,0.365761104523148,0.460725387809069,0.149717415788888,0.402074276452235,0,0.460725387809069,0,0.0743339382798698,0.404761792244572
"Ufsp1",4.4371568969341,4.64537226210455,4.80384206063375,4.14233429934321,4.8146572627021,3.45108473236469,4.80384206063375,3.21997571607105,4.36289121058104,5.02860768803196
"Ulk1",3.66643472500775,4.68985754077921,4.84282232720943,2.76502342505272,4.58257553292581,1.40290320717595,4.84282232720943,1.57221439547254,3.0140657392803,3.94735194632134
"Unc13a",1.74850027948451,2.61901107847511,3.09278712665345,0.681063138085513,2.37731789433497,0.236879538393406,3.09278712665345,0.214076495820656,1.08256572034497,0.839944526543883
"Unc5a",0.540134756933333,0.710927997677524,1.09188734198413,0.0787004001069083,0.74168983104955,0.028556613299784,1.09188734198413,0.030936458355829,0.0920324897791642,0.122685040535948
"Unc79",0.674968284039289,0.967583198346094,1.18494599930193,0.265314647472827,0.921196244869132,0.070995120333923,1.18494599930193,0.0818864410683248,0.280820218200204,0.469922924430852
"Unc80",0.462071707840168,0.982689092314989,0.874615001382509,0.166173499049972,0.648129454135353,0.080567251647114,0.874615001382509,0.0944080204399451,0.0726010606718942,0.345864511760081
"Upk3a",0.209343415281868,0.205898638936669,0.333621973558136,0.100169079746983,0.285155132080256,0,0.333621973558136,0,0.034123338348057,0.286417716842287
"Usp11",3.07199792135741,5.09850294011276,4.76615930960273,1.84291983398718,4.10751117595259,0.73096272590952,4.76615930960273,0.55685251853353,3.39690275916787,1.83221768735086
"Usp13",0.428162865296647,0.924028759539645,0.791546438988445,0.172185475096699,0.595352163241142,0.0923587695100376,0.791546438988445,0.109038706601588,0.0562011333937912,0.363945938993741
"Usp27x",2.22877191401684,2.77413188391223,3.11435987387108,1.52205244538131,2.531572420333,1.53241051412127,3.11435987387108,1.64346349880457,1.68069110332803,1.21772052332668
"Usp29",0.317515724724282,0.127011740970936,0.37327782161555,0.244910891975254,0.392501349620155,0.0636792603222927,0.37327782161555,0.0582622471945406,0.140947812804627,0.572852344882735
"Usp49",0.5495559180879,1.29034703105277,1.10995077450593,0.151809307842734,0.780203668634829,0.100472382325065,1.10995077450593,0.1267540067451,0.0792000379228299,0.254484939079798
"Uts2r",0.16542774761541,0,0.275458183368262,0.0484726478797386,0.210544406055977,0,0.275458183368262,0,0,0.155112473215164
"Vamp2",7.14170758501911,9.07336939197538,8.69307979409074,6.02571462795097,8.04068937993634,5.15242310073582,8.69307979409074,5.12799958949041,6.46670432437637,6.66198297767825
"Vash2",0.709836482470777,1.17171875653808,1.33185216860754,0.223308041359522,0.987667992745479,0.0612703977321719,1.33185216860754,0.0613106889019591,0.102165101885838,0.53884780378228
"Vat1l",0.537810663359706,1.64004866700614,1.18939721461483,0.105452181467276,0.813978329957363,0.05390908112776,1.18939721461483,0.0365260343228713,0.0801057549375675,0.213509984570271
