"","astro","other","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"Adra2a",7.79975748125744,1.86057797937588,4.02183628944679,0.711874395799029,2.89508152728067,0.500488098108098,4.02183628944679,0.10090100241258,1.9952800264967,0.161636837165095
"Adrb1",7.34397068556149,2.7258017189569,3.99867330130317,2.18931020522949,3.90555431120212,0.636024331933708,3.99867330130317,0,5.26646243965585,1.73933021707853
"Afap1l2",4.40058419420945,0.962781232698928,2.36886137386838,0.162186479364471,1.58716442197904,0.105178202556248,2.36886137386838,0.107063338140131,0.153339154752621,0.237181573445528
"Aff1",3.84250667644288,1.46608188086565,1.57056195410628,1.67171491622724,2.07288080755845,0.391491031354736,1.57056195410628,0.429248921688661,1.72458364235257,3.10980538354821
"Ager",4.1186103135964,1.65967480714462,2.12662053720349,1.55846423164958,2.39136460859827,0.262261729760046,2.12662053720349,0.243565733092865,1.35245914129557,3.34234752027166
"Agl",5.0419024431702,1.98807108597521,2.62801914860251,1.80984545082569,2.60069143834045,1.06682295626955,2.62801914860251,1.30235555720248,1.46169400733009,2.76698476666915
"Agrn",8.75313173339882,3.70307884230294,6.72183995233164,1.6929194824148,4.96593028143519,1.49275060746322,6.72183995233164,1.65396068482803,1.25197651200118,2.18061300993255
"Agt",4.29362457325233,0.716783942064133,1.31155565391171,0.643463773096029,1.28107592438876,0.0591911484684686,1.31155565391171,0,1.15345894309574,0.905625130811551
"Aifm3",7.84433716416326,0.88444508950705,2.58897125218421,0.262971206496562,1.80251471468628,0.0997266389282306,2.58897125218421,0.0333907706478418,0.421948436672622,0.379490499338967
"Ajuba",3.86238869018706,1.33076778555298,1.45043891264854,1.54250816242364,1.66447096749069,1.0459892613828,1.45043891264854,0.954860865330768,2.87907481242197,0.911118268936743
"Ak3l2-ps",6.88664033922264,1.43437273052188,3.85255122378984,0,2.45162350604808,0,3.85255122378984,0,0,0
"Ak4",4.02300877253706,0.627038465652278,1.55389379608426,0.240536339884891,1.13240305519723,0.0862784211248491,1.55389379608426,0.0676975223261926,0.209583842658167,0.478895418182052
"Akap9",4.71805041816728,1.90960556808893,2.44710226644328,1.79035156328866,2.71478300649689,0.397478824986618,2.44710226644328,0.411033068810266,2.00537019798478,3.23051512196662
